id,GRE_Score_v,TOEFL_Score_v,University_Rating_v,SOP_v,LOR_v,CGPA_v,Research_v,GRE_Score_a,TOEFL_Score_a,University_Rating_a,SOP_a,LOR_a,CGPA_a,Research_a,y
121,334,119,5,4.5,4.5,9.48,1,0.11,0.195,0.061,0.01,0.036,0.263,0.057,0.995
122,310,106,4,1.5,2.5,8.36,0,-0.041,-0.046,0.004,-0.009,-0.027,-0.098,-0.039,0.008
123,308,108,3,3.5,3.5,8.22,0,-0.047,-0.032,-0.011,-0.001,-0.008,-0.119,-0.037,0.009
124,301,106,4,2.5,3,8.47,0,-0.068,-0.053,0.003,-0.006,-0.017,-0.078,-0.037,0.008
125,300,100,3,2,3,8.66,1,-0.071,-0.101,-0.014,-0.008,-0.018,-0.053,0.009,0.008
126,323,113,3,4,3,9.32,1,0.053,0.149,0.003,0.01,-0.02,0.294,0.071,0.823
127,319,112,3,2.5,2,8.71,1,-0.009,0.046,-0.013,-0.01,-0.08,-0.027,0.036,0.207
128,326,112,3,3.5,3,9.1,1,0.083,0.111,-0.001,0.004,-0.025,0.185,0.075,0.696
129,333,118,5,5,5,9.35,1,0.107,0.206,0.057,0.013,0.054,0.254,0.038,0.993
130,339,114,5,4,4.5,9.76,1,0.145,0.098,0.066,0.007,0.025,0.34,0.051,0.996
131,303,105,5,5,4.5,8.65,0,-0.094,-0.074,0.032,0.009,0.016,-0.052,-0.056,0.045
132,309,105,5,3.5,3.5,8.56,0,-0.053,-0.07,0.027,-0.001,-0.008,-0.08,-0.049,0.029
133,323,112,5,4,4.5,8.78,0,0.036,0.094,0.084,0.009,0.05,0.039,-0.082,0.494
134,333,113,5,4,4,9.28,1,0.123,0.125,0.075,0.009,0.022,0.29,0.055,0.963
135,314,109,4,3.5,4,8.77,1,-0.046,-0.003,0.034,0.002,0.019,0.004,0.044,0.318
136,312,103,3,5,4,8.45,0,-0.039,-0.082,-0.011,0.006,0.001,-0.086,-0.041,0.012
137,316,100,2,1.5,3,8.16,1,-0.022,-0.087,-0.025,-0.009,-0.014,-0.11,0.008,0.004
138,326,116,2,4.5,3,9.08,1,0.079,0.225,-0.044,0.016,-0.023,0.196,0.072,0.785
139,318,109,1,3.5,3.5,9.12,0,-0.018,-0.015,-0.088,0,-0.01,0.068,-0.075,0.127
140,329,110,2,4,3,9.15,1,0.101,0.061,-0.052,0.01,-0.027,0.181,0.075,0.613
141,332,118,2,4.5,3.5,9.36,1,0.113,0.239,-0.027,0.014,0.006,0.291,0.059,0.959
142,331,115,5,4,3.5,9.44,1,0.104,0.168,0.069,0.009,0.007,0.305,0.053,0.978
143,340,120,4,4.5,4,9.92,1,0.094,0.14,0.031,0.009,0.018,0.401,0.041,0.999
144,325,112,2,3,3.5,8.96,1,0.061,0.097,-0.055,-0.004,-0.001,0.103,0.068,0.533
145,320,113,2,2,2.5,8.64,1,-0.003,0.056,-0.052,-0.015,-0.053,-0.051,0.037,0.183
146,315,105,3,2,2.5,8.48,0,-0.03,-0.062,-0.014,-0.009,-0.029,-0.071,-0.04,0.009
147,326,114,3,3,3,9.11,1,0.08,0.168,0.001,-0.002,-0.023,0.21,0.071,0.769
148,339,116,4,4,3.5,9.8,1,0.12,0.131,0.025,0.005,0.006,0.401,0.042,0.995
149,311,106,2,3.5,3,8.26,1,-0.042,-0.051,-0.03,-0.001,-0.018,-0.118,0.011,0.014
150,334,114,4,4,4,9.43,1,0.12,0.148,0.038,0.008,0.023,0.319,0.055,0.974
151,332,116,5,5,5,9.28,1,0.11,0.16,0.069,0.019,0.058,0.254,0.053,0.987
152,321,112,5,5,5,9.06,1,0.042,0.122,0.091,0.022,0.079,0.204,0.071,0.894
153,324,105,3,3,4,8.75,0,0.008,-0.082,-0.017,-0.004,0.006,-0.037,-0.063,0.075
154,326,108,3,3,3.5,8.89,0,0.032,-0.034,-0.013,-0.005,-0.01,0.017,-0.078,0.172
155,312,109,3,3,3,8.69,0,-0.049,-0.022,-0.014,-0.004,-0.023,-0.054,-0.057,0.042
156,315,105,3,2,2.5,8.34,0,-0.026,-0.058,-0.013,-0.008,-0.026,-0.088,-0.039,0.006
157,309,104,2,2,2.5,8.26,0,-0.035,-0.055,-0.023,-0.007,-0.022,-0.088,-0.034,0.002
158,306,106,2,2,2.5,8.14,0,-0.043,-0.04,-0.022,-0.006,-0.021,-0.099,-0.032,0.002
159,297,100,1,1.5,2,7.9,0,-0.047,-0.055,-0.026,-0.006,-0.022,-0.084,-0.025,0
160,315,103,1,1.5,2,7.86,0,-0.02,-0.051,-0.031,-0.007,-0.025,-0.103,-0.027,0
161,298,99,1,1.5,3,7.46,0,-0.044,-0.057,-0.023,-0.006,-0.01,-0.101,-0.024,0
162,318,109,3,3,3,8.5,0,-0.022,-0.024,-0.013,-0.004,-0.022,-0.088,-0.056,0.036
163,317,105,3,3.5,3,8.56,0,-0.026,-0.065,-0.015,-0.001,-0.021,-0.068,-0.049,0.019
164,329,111,4,4.5,4,9.01,1,0.11,0.092,0.049,0.016,0.03,0.178,0.073,0.814
165,322,110,5,4.5,4,8.97,0,0.033,0.04,0.085,0.016,0.026,0.099,-0.084,0.479
166,302,102,3,3.5,5,8.33,0,-0.062,-0.079,-0.01,-0.001,0.017,-0.086,-0.037,0.005
167,313,102,3,2,3,8.27,0,-0.028,-0.075,-0.01,-0.007,-0.014,-0.093,-0.034,0.003
168,293,97,2,2,4,7.8,1,-0.06,-0.082,-0.018,-0.005,0,-0.105,0.005,0
169,311,99,2,2.5,3,7.98,0,-0.028,-0.076,-0.02,-0.004,-0.012,-0.097,-0.027,0
170,312,101,2,2.5,3.5,8.04,1,-0.031,-0.08,-0.022,-0.005,-0.007,-0.125,0.008,0.003
171,334,117,5,4,4.5,9.07,1,0.109,0.216,0.074,0.009,0.041,0.2,0.064,0.976
172,322,110,4,4,5,9.13,1,0.049,0.074,0.048,0.01,0.082,0.224,0.071,0.823
173,323,113,4,4,4.5,9.23,1,0.056,0.147,0.045,0.009,0.053,0.268,0.066,0.908
174,321,111,4,4,4,8.97,1,0.033,0.088,0.046,0.011,0.029,0.138,0.072,0.681
175,320,111,4,4.5,3.5,8.87,1,0.014,0.076,0.041,0.016,-0.002,0.081,0.067,0.557
176,329,119,4,4.5,4.5,9.16,1,0.08,0.255,0.03,0.012,0.04,0.242,0.054,0.976
177,319,110,3,3.5,3.5,9.04,0,-0.008,0.016,-0.012,0.001,-0.008,0.071,-0.082,0.241
178,309,108,3,2.5,3,8.12,0,-0.04,-0.029,-0.01,-0.005,-0.018,-0.121,-0.035,0.005
179,307,102,3,3,3,8.27,0,-0.044,-0.07,-0.01,-0.003,-0.014,-0.088,-0.033,0.002
180,300,104,3,3.5,3,8.16,0,-0.057,-0.053,-0.01,-0.001,-0.015,-0.095,-0.032,0.002
181,305,107,2,2.5,2.5,8.42,0,-0.051,-0.039,-0.023,-0.005,-0.025,-0.078,-0.038,0.004
182,299,100,2,3,3.5,7.88,0,-0.049,-0.066,-0.018,-0.002,-0.006,-0.097,-0.026,0
183,314,110,3,4,4,8.8,0,-0.044,-0.002,-0.015,0.004,0.008,-0.017,-0.072,0.126
184,316,106,2,2.5,4,8.32,0,-0.026,-0.051,-0.028,-0.006,0,-0.1,-0.043,0.01
185,327,113,4,4.5,4.5,9.11,1,0.089,0.144,0.047,0.015,0.052,0.221,0.072,0.905
186,317,107,3,3.5,3,8.68,1,-0.027,-0.055,-0.014,0,-0.028,-0.05,0.027,0.116
187,335,118,5,4.5,3.5,9.44,1,0.091,0.191,0.055,0.01,0.005,0.32,0.054,0.991
188,331,115,5,4.5,3.5,9.36,1,0.097,0.161,0.069,0.012,0.007,0.309,0.054,0.974
189,324,112,5,5,5,9.08,1,0.065,0.124,0.087,0.02,0.076,0.214,0.067,0.917
190,324,111,5,4.5,4,9.16,1,0.064,0.1,0.092,0.015,0.03,0.241,0.07,0.876
191,323,110,5,4,5,8.98,1,0.057,0.07,0.097,0.01,0.084,0.165,0.074,0.822
192,322,114,5,4.5,4,8.94,1,0.048,0.172,0.094,0.016,0.029,0.162,0.069,0.853
193,336,118,5,4.5,5,9.53,1,0.099,0.162,0.052,0.01,0.053,0.308,0.049,0.997
194,316,109,3,3.5,3,8.76,0,-0.032,-0.026,-0.013,0,-0.027,-0.032,-0.065,0.069
195,307,107,2,3,3.5,8.52,1,-0.061,-0.052,-0.04,-0.004,-0.008,-0.081,0.014,0.032
196,306,105,2,3,2.5,8.26,0,-0.046,-0.047,-0.026,-0.003,-0.022,-0.086,-0.032,0.002
197,310,106,2,3.5,2.5,8.33,0,-0.039,-0.041,-0.025,-0.001,-0.024,-0.091,-0.038,0.004
198,311,104,3,4.5,4.5,8.43,0,-0.045,-0.073,-0.012,0.004,0.011,-0.085,-0.049,0.015
199,313,107,3,4,4.5,8.69,0,-0.046,-0.051,-0.015,0.003,0.019,-0.05,-0.061,0.062
200,317,103,3,2.5,3,8.54,1,-0.028,-0.101,-0.014,-0.007,-0.024,-0.072,0.015,0.034
201,315,110,2,3.5,3,8.46,1,-0.033,-0.006,-0.04,-0.001,-0.026,-0.111,0.02,0.069
202,340,120,5,4.5,4.5,9.91,1,0.117,0.145,0.046,0.009,0.03,0.35,0.038,0.999
203,334,120,5,4,5,9.87,1,0.064,0.147,0.045,0.005,0.035,0.408,0.03,0.999
204,298,105,3,3.5,4,8.54,0,-0.077,-0.062,-0.012,-0.001,0,-0.065,-0.038,0.008
205,295,99,2,2.5,3,7.65,0,-0.049,-0.063,-0.016,-0.004,-0.011,-0.096,-0.025,0
206,315,99,2,3.5,3,7.89,0,-0.019,-0.077,-0.021,-0.001,-0.013,-0.105,-0.028,0
207,310,102,3,3.5,4,8.02,1,-0.04,-0.078,-0.01,-0.001,0.001,-0.138,0.009,0.006
208,305,106,2,3,3,8.16,0,-0.048,-0.04,-0.023,-0.003,-0.015,-0.1,-0.033,0.002
209,301,104,3,3.5,4,8.12,1,-0.065,-0.06,-0.013,-0.001,0.001,-0.128,0.009,0.007
210,325,108,4,4.5,4,9.06,1,0.068,0.011,0.049,0.017,0.03,0.169,0.072,0.68
211,328,110,4,5,4,9.14,1,0.099,0.074,0.048,0.023,0.028,0.231,0.073,0.838
212,338,120,4,5,5,9.66,1,0.103,0.181,0.028,0.015,0.052,0.304,0.052,0.998
213,333,119,5,5,4.5,9.78,1,0.09,0.174,0.05,0.013,0.037,0.319,0.052,0.998
214,331,117,4,4.5,5,9.42,1,0.076,0.193,0.041,0.01,0.051,0.312,0.042,0.989
215,330,116,5,5,4.5,9.36,1,0.093,0.179,0.068,0.013,0.041,0.274,0.053,0.986
216,322,112,4,4.5,4.5,9.26,1,0.047,0.122,0.046,0.015,0.052,0.281,0.068,0.896
217,321,109,4,4,4,9.13,1,0.035,0.039,0.05,0.011,0.028,0.2,0.071,0.698
218,324,110,4,3,3.5,8.97,1,0.056,0.048,0.048,-0.003,-0.001,0.133,0.065,0.609
219,312,104,3,3.5,3.5,8.42,0,-0.038,-0.07,-0.012,-0.001,-0.008,-0.084,-0.042,0.009
220,313,103,3,4,4,8.75,0,-0.042,-0.098,-0.014,0.002,0.002,-0.038,-0.049,0.028
221,316,110,3,3.5,4,8.56,0,-0.035,-0.008,-0.015,-0.001,0.005,-0.078,-0.062,0.071
222,324,113,4,4.5,4,8.79,0,0.045,0.094,0.042,0.015,0.024,0.035,-0.085,0.434
223,308,109,2,3,4,8.45,0,-0.059,-0.026,-0.029,-0.004,0.002,-0.086,-0.045,0.017
224,305,105,2,3,2,8.23,0,-0.044,-0.047,-0.023,-0.003,-0.028,-0.087,-0.031,0.001
225,296,99,2,2.5,2.5,8.03,0,-0.048,-0.069,-0.017,-0.004,-0.017,-0.084,-0.024,0
226,306,110,2,3.5,4,8.45,0,-0.063,-0.013,-0.028,-0.001,0.002,-0.097,-0.046,0.019
227,312,110,2,3.5,3,8.53,0,-0.046,-0.01,-0.033,-0.001,-0.02,-0.083,-0.049,0.023
228,318,112,3,4,3.5,8.67,0,-0.018,0.029,-0.013,0.004,-0.009,-0.049,-0.075,0.134
229,324,111,4,3,3,9.01,1,0.055,0.078,0.048,-0.003,-0.028,0.149,0.071,0.634
230,313,104,3,4,4.5,8.65,0,-0.04,-0.088,-0.013,0.002,0.014,-0.057,-0.051,0.031
231,319,106,3,3.5,2.5,8.33,1,-0.018,-0.056,-0.015,-0.001,-0.034,-0.122,0.015,0.034
232,312,107,2,2.5,3.5,8.27,0,-0.032,-0.036,-0.03,-0.005,-0.007,-0.108,-0.039,0.007
233,304,100,2,2.5,3.5,8.07,0,-0.042,-0.071,-0.021,-0.004,-0.007,-0.091,-0.028,0.001
234,330,113,5,5,4,9.31,1,0.084,0.137,0.074,0.017,0.026,0.305,0.058,0.963
235,326,111,5,4.5,4,9.23,1,0.082,0.1,0.09,0.015,0.026,0.268,0.064,0.909
236,325,112,4,4,4.5,9.17,1,0.072,0.123,0.047,0.01,0.054,0.244,0.072,0.885
237,329,114,5,4.5,5,9.19,1,0.084,0.153,0.069,0.013,0.06,0.261,0.064,0.968
238,310,104,3,2,3.5,8.37,0,-0.042,-0.06,-0.013,-0.007,-0.006,-0.094,-0.037,0.006
239,299,100,1,1.5,2,7.89,0,-0.045,-0.057,-0.027,-0.006,-0.021,-0.086,-0.023,0
240,296,101,1,2.5,3,7.68,0,-0.048,-0.056,-0.026,-0.003,-0.011,-0.097,-0.023,0
241,317,103,2,2.5,2,8.15,0,-0.018,-0.059,-0.025,-0.005,-0.03,-0.094,-0.031,0.002
242,324,115,3,3.5,3,8.76,1,0.06,0.167,-0.005,0.003,-0.029,0.04,0.067,0.568
243,325,114,3,3.5,3,9.04,1,0.071,0.17,0,0.004,-0.024,0.169,0.073,0.727
244,314,107,2,2.5,4,8.56,0,-0.037,-0.042,-0.034,-0.007,0.002,-0.079,-0.046,0.022
245,328,110,4,4,2.5,9.02,1,0.091,0.054,0.049,0.01,-0.055,0.148,0.07,0.632
246,316,105,3,3,3.5,8.73,0,-0.03,-0.075,-0.011,-0.004,-0.01,-0.05,-0.049,0.035
247,311,104,2,2.5,3.5,8.48,0,-0.039,-0.067,-0.026,-0.005,-0.008,-0.074,-0.039,0.006
248,324,110,3,3.5,4,8.87,1,0.049,0.04,-0.007,0.003,0.025,0.073,0.062,0.509
249,321,111,3,3.5,4,8.83,1,0.02,0.061,-0.008,0.003,0.024,0.052,0.062,0.478
