age_v,income_v,employment_length_v,loan_amount_v,loan_interest_rate_v,loan_percent_income_v,credit_history_length_v,age_a,income_a,employment_length_a,loan_amount_a,loan_interest_rate_a,loan_percent_income_a,credit_history_length_a,y,loan_intent,home_ownership,default_on_file,id
25,234000,3.0,20000,14.27,0.09,4,0.005,-0.368,-0.018,0.136,0.043,0.013,0.0,0.022,MEDICAL,MORTGAGE,Y,86
24,234000,8.0,20000,8.88,0.09,4,0.01,-0.36,0.014,0.15,-0.041,0.024,-0.003,0.004,HOMEIMPROVEMENT,OWN,N,87
26,234000,10.0,21600,12.18,0.09,3,0.015,-0.405,0.015,0.156,0.003,0.03,-0.004,0.021,HOMEIMPROVEMENT,MORTGAGE,N,88
25,221004,6.0,11900,14.42,0.05,3,0.045,-0.179,-0.024,0.102,0.341,0.104,-0.011,0.588,DEBTCONSOLIDATION,MORTGAGE,Y,89
26,232500,0.0,25000,14.17,0.11,2,0.014,-0.408,-0.02,0.233,0.089,-0.004,-0.018,0.096,MEDICAL,MORTGAGE,Y,90
25,230000,5.0,35000,13.99,0.15,4,0.006,-0.384,-0.033,0.243,0.12,-0.056,-0.008,0.096,MEDICAL,MORTGAGE,N,91
23,83000,7.0,25300,10.99,0.3,3,0.019,0.023,0.028,0.289,0.028,-0.224,0.036,0.409,EDUCATION,RENT,N,92
25,12600,3.0,1750,13.61,0.14,3,-0.013,0.22,-0.023,-0.104,-0.013,-0.219,-0.008,0.051,PERSONAL,OWN,N,93
21,42500,3.0,25000,12.73,0.59,3,-0.015,0.098,0.027,0.25,0.003,0.137,0.0,0.71,EDUCATION,RENT,Y,94
25,12816,0.0,3000,12.87,0.23,4,0.003,0.62,0.006,-0.021,0.012,0.168,-0.001,0.996,DEBTCONSOLIDATION,OWN,Y,95
24,12960,1.0,3650,9.91,0.28,3,-0.005,0.661,0.002,-0.015,-0.034,0.178,0.001,0.998,HOMEIMPROVEMENT,MORTGAGE,N,96
26,226000,4.0,20000,11.49,0.09,4,0.013,-0.371,-0.011,0.153,0.003,0.022,-0.004,0.015,HOMEIMPROVEMENT,MORTGAGE,N,97
25,225000,0.0,30000,19.91,0.13,2,0.005,-0.5,-0.107,0.179,0.321,-0.038,-0.033,0.037,HOMEIMPROVEMENT,MORTGAGE,Y,98
26,213000,6.0,35000,10.65,0.16,2,0.021,-0.311,0.058,0.343,0.078,-0.026,0.025,0.396,EDUCATION,MORTGAGE,N,99
24,12960,0.0,4500,11.83,0.35,4,-0.003,0.468,0.018,-0.025,-0.013,0.345,-0.001,0.999,DEBTCONSOLIDATION,MORTGAGE,N,100
23,12996,0.0,2400,13.49,0.18,2,-0.005,0.627,0.005,-0.03,0.001,0.18,0.007,0.995,DEBTCONSOLIDATION,OWN,Y,101
22,42000,6.0,25000,14.59,0.6,2,-0.003,0.083,-0.011,0.252,0.279,0.135,0.006,0.95,MEDICAL,RENT,Y,102
26,48000,2.0,25000,9.64,0.52,4,0.006,0.079,0.022,0.358,-0.043,0.203,-0.004,0.83,EDUCATION,RENT,N,103
25,12996,1.0,3600,14.59,0.28,3,-0.001,0.466,0.059,-0.019,0.211,0.073,-0.0,0.998,MEDICAL,OWN,N,104
25,42360,1.0,25000,16.35,0.59,3,0.015,0.073,0.04,0.2,0.276,0.145,-0.003,0.956,EDUCATION,RENT,Y,105
21,49000,4.0,25000,10.99,0.51,2,0.003,0.243,0.013,0.288,0.028,0.158,-0.013,0.93,EDUCATION,RENT,N,106
25,225000,0.0,25000,18.67,0.11,2,-0.0,-0.421,-0.098,0.2,0.315,0.01,-0.064,0.152,VENTURE,MORTGAGE,N,107
26,225000,1.0,3000,9.32,0.01,4,0.003,-0.123,0.004,-0.027,-0.05,-0.009,-0.001,0.007,EDUCATION,RENT,N,108
23,225000,8.0,7500,8.63,0.03,2,-0.004,-0.169,0.004,-0.013,-0.041,0.022,0.003,0.012,DEBTCONSOLIDATION,RENT,N,109
26,225000,2.0,25000,10.08,0.11,2,0.023,-0.328,-0.016,0.234,-0.031,-0.009,-0.004,0.081,VENTURE,MORTGAGE,N,110
22,49464,5.0,25000,11.83,0.51,3,0.014,0.243,-0.036,0.293,0.037,0.125,-0.0,0.885,PERSONAL,RENT,N,111
23,50000,1.0,25000,7.9,0.5,3,0.022,0.007,0.063,0.363,-0.041,0.233,-0.003,0.854,DEBTCONSOLIDATION,RENT,N,112
25,50000,4.0,25000,5.99,0.5,2,0.063,0.011,0.028,0.335,-0.099,0.243,0.002,0.792,HOMEIMPROVEMENT,RENT,N,113
24,44000,2.0,25000,15.33,0.57,2,0.01,0.179,0.025,0.172,0.237,0.133,-0.004,0.961,DEBTCONSOLIDATION,RENT,N,114
23,50000,1.0,25000,11.83,0.5,4,0.029,-0.016,0.068,0.387,0.016,0.136,-0.004,0.826,VENTURE,RENT,N,115
22,50004,0.0,25000,10.36,0.5,2,0.022,-0.016,-0.01,0.386,-0.004,0.12,-0.008,0.7,VENTURE,RENT,N,116
22,50004,3.0,25000,12.23,0.5,3,0.004,-0.035,0.034,0.346,0.076,0.135,-0.002,0.768,VENTURE,RENT,N,117
22,52000,2.0,25000,11.11,0.48,4,0.005,0.025,0.014,0.352,0.027,0.136,0.005,0.773,EDUCATION,RENT,N,118
23,13200,3.0,4950,7.9,0.38,4,-0.016,0.52,-0.0,-0.03,-0.028,0.341,0.0,0.997,DEBTCONSOLIDATION,OWN,N,119
24,220000,1.0,25000,11.58,0.11,2,0.006,-0.399,0.0,0.233,0.0,-0.009,-0.002,0.039,EDUCATION,MORTGAGE,N,120
23,216000,5.0,21000,8.9,0.1,3,0.006,-0.272,0.002,0.117,-0.046,-0.013,0.001,0.005,DEBTCONSOLIDATION,MORTGAGE,N,121
25,216000,2.0,25000,16.07,0.12,3,0.007,-0.433,0.02,0.208,0.29,-0.029,-0.008,0.265,EDUCATION,MORTGAGE,N,122
26,216000,10.0,20000,14.22,0.09,2,0.012,-0.438,0.017,0.152,0.052,0.024,-0.005,0.024,EDUCATION,MORTGAGE,Y,123
23,215000,7.0,35000,14.79,0.16,3,-0.025,-0.435,0.007,0.283,0.152,-0.009,-0.007,0.176,MEDICAL,MORTGAGE,Y,124
26,215000,11.0,12000,7.88,0.06,2,0.004,-0.186,0.003,0.033,-0.072,0.011,-0.002,0.001,EDUCATION,MORTGAGE,N,125
23,52000,1.0,25000,13.22,0.48,2,0.018,0.024,0.031,0.341,0.125,0.182,-0.011,0.92,PERSONAL,RENT,N,126
26,46000,2.0,25000,11.86,0.54,4,0.01,0.106,0.027,0.295,0.002,0.164,-0.003,0.81,DEBTCONSOLIDATION,RENT,N,127
22,53000,5.0,25000,13.43,0.47,4,0.006,0.011,-0.021,0.353,0.147,0.165,0.01,0.881,EDUCATION,RENT,Y,128
26,47000,0.0,25000,15.28,0.53,2,0.009,0.091,0.039,0.226,0.215,0.158,-0.006,0.943,HOMEIMPROVEMENT,RENT,Y,129
23,47000,1.0,25000,17.93,0.53,2,0.007,0.093,0.044,0.199,0.287,0.142,-0.014,0.967,VENTURE,RENT,N,130
23,13200,2.0,1400,9.25,0.11,4,-0.028,0.261,-0.028,-0.046,-0.064,-0.211,-0.007,0.086,EDUCATION,MORTGAGE,N,131
21,13200,0.0,4500,12.98,0.34,4,-0.02,0.423,0.018,-0.025,0.036,0.356,0.001,0.999,VENTURE,OWN,N,132
22,210000,6.0,16000,10.62,0.08,4,0.002,-0.315,0.009,0.098,-0.023,0.027,0.002,0.01,VENTURE,MORTGAGE,N,133
26,210000,10.0,22000,11.83,0.1,4,0.016,-0.381,0.016,0.157,0.001,0.002,-0.005,0.015,PERSONAL,OWN,N,134
26,48000,5.0,25000,18.43,0.52,2,0.004,0.051,-0.036,0.276,0.304,0.138,-0.02,0.926,VENTURE,RENT,N,135
23,55000,4.0,25000,11.36,0.45,3,0.009,-0.054,0.017,0.406,0.027,0.097,0.009,0.721,EDUCATION,RENT,N,136
23,55000,4.0,25000,15.65,0.45,3,0.001,-0.028,-0.012,0.323,0.242,0.078,0.006,0.82,EDUCATION,RENT,Y,137
24,55164,8.0,25000,13.22,0.45,4,0.009,-0.041,-0.012,0.384,0.154,0.124,0.01,0.839,PERSONAL,RENT,Y,138
26,56000,4.0,25000,12.87,0.45,2,0.025,0.094,0.015,0.357,0.089,0.128,0.005,0.923,DEBTCONSOLIDATION,RENT,N,139
24,203500,8.0,20000,13.04,0.1,3,0.002,-0.373,0.004,0.153,0.02,-0.007,-0.002,0.007,MEDICAL,OWN,N,140
23,190000,5.0,22000,17.58,0.12,3,-0.016,-0.246,0.032,0.165,0.412,-0.01,-0.001,0.546,EDUCATION,MORTGAGE,Y,141
23,13920,2.0,7750,17.04,0.56,4,-0.012,0.33,0.02,-0.01,0.245,0.214,0.002,0.999,PERSONAL,OWN,N,142
24,60000,0.0,25000,10.99,0.42,3,0.057,-0.031,0.049,0.345,0.078,0.252,-0.014,0.945,PERSONAL,RENT,N,143
24,60000,2.0,25000,11.11,0.42,3,0.049,-0.019,0.023,0.36,0.063,0.237,-0.01,0.913,PERSONAL,RENT,N,144
26,54000,7.0,25000,14.83,0.46,2,0.009,0.158,-0.007,0.286,0.232,0.077,0.014,0.98,DEBTCONSOLIDATION,RENT,Y,145
24,200000,8.0,12000,12.69,0.06,2,-0.0,-0.245,-0.001,0.033,0.002,0.01,-0.002,0.006,MEDICAL,RENT,N,146
24,200000,8.0,12000,13.49,0.06,2,-0.001,-0.244,-0.004,0.034,0.016,0.004,-0.002,0.012,HOMEIMPROVEMENT,MORTGAGE,N,147
21,200000,5.0,16000,14.65,0.08,4,-0.007,-0.362,-0.002,0.099,0.06,0.019,0.005,0.021,EDUCATION,MORTGAGE,N,148
25,54000,3.0,25000,16.82,0.46,4,0.01,0.159,-0.007,0.257,0.251,0.088,0.001,0.968,HOMEIMPROVEMENT,RENT,N,149
23,60000,3.0,25000,12.73,0.42,3,0.027,-0.097,0.049,0.293,0.025,0.226,0.0,0.733,PERSONAL,RENT,N,150
23,60000,7.0,25000,10.25,0.42,4,0.034,-0.055,-0.011,0.372,0.107,0.172,-0.017,0.812,PERSONAL,RENT,N,151
21,60000,6.0,25000,10.99,0.42,4,0.055,-0.04,-0.041,0.361,0.072,0.176,-0.012,0.78,EDUCATION,RENT,N,152
25,61959,9.0,25000,12.73,0.4,2,0.048,-0.035,-0.011,0.292,0.025,0.07,0.005,0.603,MEDICAL,RENT,N,153
22,56400,2.0,25000,14.96,0.44,3,-0.012,0.08,0.024,0.279,0.317,0.034,0.0,0.932,HOMEIMPROVEMENT,RENT,Y,154
21,200000,2.0,25000,13.99,0.13,2,-0.02,-0.43,0.01,0.213,0.13,-0.009,-0.007,0.098,DEBTCONSOLIDATION,MORTGAGE,N,155
24,200000,3.0,24000,7.49,0.12,4,0.01,-0.26,-0.018,0.167,-0.072,-0.019,-0.002,0.017,VENTURE,MORTGAGE,N,156
26,200000,4.0,15000,14.79,0.07,3,0.011,-0.317,-0.023,0.048,0.118,-0.007,-0.005,0.036,EDUCATION,MORTGAGE,N,157
25,200000,2.0,15500,11.99,0.08,2,-0.0,-0.265,-0.009,0.061,0.004,0.008,0.002,0.011,DEBTCONSOLIDATION,MORTGAGE,N,158
24,200000,8.0,10000,8.49,0.05,4,0.002,-0.173,-0.001,0.012,-0.051,0.003,0.003,0.005,EDUCATION,RENT,N,159
24,66000,3.0,25000,9.91,0.38,2,0.032,-0.021,0.012,0.286,-0.08,0.161,-0.008,0.591,EDUCATION,RENT,N,160
22,66000,6.0,25000,13.06,0.38,3,0.008,-0.011,-0.057,0.325,0.078,0.106,0.015,0.673,EDUCATION,RENT,Y,161
22,200000,6.0,9000,6.17,0.04,4,-0.005,-0.132,-0.003,0.012,-0.097,0.013,0.003,0.001,DEBTCONSOLIDATION,MORTGAGE,N,162
144,200000,4.0,6000,11.86,0.03,2,-0.051,-0.108,-0.004,-0.024,-0.018,-0.002,0.008,0.01,EDUCATION,MORTGAGE,N,163
25,200000,5.0,18000,16.32,0.09,3,0.004,-0.399,-0.02,0.08,0.238,0.019,-0.004,0.127,EDUCATION,RENT,N,164
25,200000,2.0,12000,10.38,0.06,2,0.006,-0.193,-0.006,0.031,-0.033,0.002,0.002,0.018,VENTURE,MORTGAGE,N,165
25,200000,9.0,23050,14.35,0.12,3,0.012,-0.389,0.025,0.156,0.029,-0.012,-0.004,0.027,PERSONAL,MORTGAGE,N,166
26,66996,10.0,25000,15.21,0.37,2,0.013,0.066,-0.016,0.229,0.363,0.065,0.009,0.937,PERSONAL,RENT,Y,167
23,67000,3.0,25000,7.9,0.37,4,0.028,-0.096,0.011,0.26,-0.106,0.153,0.004,0.464,EDUCATION,RENT,N,168
24,67000,2.0,25000,10.99,0.37,3,0.022,-0.069,0.007,0.304,0.002,0.153,0.002,0.631,VENTURE,RENT,N,169
24,68000,5.0,25000,14.09,0.37,3,0.006,-0.071,-0.021,0.288,0.279,0.082,0.009,0.781,PERSONAL,RENT,Y,170
25,69000,9.0,25000,17.49,0.36,2,0.007,0.064,-0.038,0.216,0.349,0.062,-0.01,0.86,PERSONAL,RENT,N,171
25,200000,0.0,12000,11.48,0.06,3,0.009,-0.23,0.007,0.036,-0.015,-0.004,-0.002,0.01,EDUCATION,MORTGAGE,N,172
26,188000,10.0,20000,17.74,0.11,2,0.047,-0.226,0.038,0.166,0.434,0.022,-0.016,0.674,VENTURE,MORTGAGE,N,173
26,200000,4.0,3000,13.92,0.01,3,0.007,-0.135,-0.003,-0.033,-0.004,-0.024,0.002,0.021,PERSONAL,MORTGAGE,N,174
25,69996,9.0,25000,15.21,0.36,3,0.01,-0.153,-0.043,0.356,0.297,0.039,0.003,0.719,EDUCATION,RENT,N,175
22,14400,2.0,4000,10.99,0.28,3,-0.011,0.639,0.0,-0.024,-0.025,0.206,0.002,0.996,MEDICAL,OWN,N,176
24,70000,3.0,25000,11.86,0.36,4,0.017,-0.145,0.034,0.347,0.052,0.068,-0.004,0.579,EDUCATION,RENT,N,177
24,14400,5.0,6000,7.49,0.42,3,-0.003,0.498,-0.014,-0.022,-0.04,0.368,0.0,0.998,PERSONAL,OWN,N,178
24,56100,7.0,25000,16.49,0.38,4,0.008,0.083,-0.027,0.241,0.324,0.078,-0.001,0.916,MEDICAL,RENT,N,179
25,66000,9.0,25000,15.33,0.38,2,0.019,0.077,-0.017,0.233,0.312,0.071,-0.004,0.902,VENTURE,RENT,Y,180
26,66000,3.0,25000,11.58,0.38,4,0.026,-0.0,0.029,0.278,-0.006,0.135,-0.008,0.663,HOMEIMPROVEMENT,RENT,N,181
25,14400,7.0,5375,5.79,0.37,2,0.005,0.567,-0.004,-0.018,-0.079,0.311,0.004,0.994,EDUCATION,OWN,N,182
25,72612,9.0,25000,13.11,0.34,2,0.016,-0.144,-0.058,0.292,0.146,0.059,0.006,0.528,MEDICAL,RENT,N,183
